,Unnamed: 0.1,Unnamed: 0,SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE
0,0,0,A005930,2022-01-03,79400,79800,78200,100,13502112,1066006837750
1,1,1,A005930,2022-01-04,78800,79200,78300,1000,12427416,977990613000
2,2,2,A005930,2022-01-05,78800,79000,76400,10000,25470640,1967841509800
3,3,3,A005930,2022-01-06,76700,77600,76600,76900,12931954,996378432570
4,4,4,A005930,2022-01-07,78100,78400,77400,78300,15163757,1184236552700
5,5,5,A005930,2022-01-10,78100,78100,77100,78000,9947422,772740467800
6,6,6,A005930,2022-01-11,78400,79000,78000,78900,13221123,1038834579600
7,7,7,A005930,2022-01-12,79500,79600,78600,78900,11000502,868910854000
8,8,8,A005930,2022-01-13,79300,79300,77900,77900,13889401,1088598373464
9,9,9,A005930,2022-01-14,77700,78100,77100,77300,10096725,781574668408
10,10,10,A005930,2022-01-17,77600,77800,76900,77500,8785122,678903113900
11,11,11,A005930,2022-01-18,77600,77800,76600,77000,9592788,740278857400
12,12,12,A005930,2022-01-19,76500,76900,76100,76300,10598290,810150634900
13,13,13,A005930,2022-01-20,76200,76700,75900,76500,9708168,741154141302
14,14,14,A005930,2022-01-21,75800,75800,74700,75600,15774888,1186292783000
15,15,15,A005930,2022-01-24,75400,75800,74700,75100,13691134,1028859496700
16,16,16,A005930,2022-01-25,74800,75000,73200,74000,17766704,1313117613328
17,17,17,A005930,2022-01-26,73900,74400,73100,73300,12976730,955547183400
18,18,18,A005930,2022-01-27,73800,74000,71300,71300,22274777,1603685111200
19,19,19,A005930,2022-01-28,71300,73700,71200,73300,21367447,1552585967650
20,20,20,A005930,2022-02-03,74900,74900,73300,73300,17744721,1314506070081
21,21,21,A005930,2022-02-04,74300,74600,73400,74000,12730034,941413120563
22,22,22,A005930,2022-02-07,73500,73600,72400,73000,14240838,1037300433232
23,23,23,A005930,2022-02-08,73800,74200,73000,73500,11736666,863666435400
24,24,24,A005930,2022-02-09,74300,74700,74000,74700,9699122,722221184750
25,25,25,A005930,2022-02-10,75600,75800,74700,75400,17746033,1337516647000
26,26,26,A005930,2022-02-11,75000,75500,74600,74900,12205407,915455022610
27,27,27,A005930,2022-02-14,74400,74500,73100,73700,13993255,1030683563200
28,28,28,A005930,2022-02-15,74100,74200,73100,73700,9320365,686706909200
29,29,29,A005930,2022-02-16,74600,74900,74200,74800,10767386,802448854700
30,30,30,A005930,2022-02-17,75000,75600,74500,75000,13605382,1021980123500
31,31,31,A005930,2022-02-18,74600,74800,73700,74300,10122226,751583038400
32,32,32,A005930,2022-02-21,73200,74300,72600,74200,10489717,769773939300
33,33,33,A005930,2022-02-22,73000,73400,72800,73400,11692469,854469006291
34,34,34,A005930,2022-02-23,73800,73800,72800,73000,10397964,759964784500
35,35,35,A005930,2022-02-24,72300,72300,71300,71500,15759283,1130166428800
36,36,36,A005930,2022-02-25,72100,72600,71900,71900,13168484,950762004400
37,37,37,A005930,2022-02-28,71100,72100,71000,72100,17781783,1272250751300
38,38,38,A005930,2022-03-02,72300,72400,71500,71700,12481430,897368743880
39,39,39,A005930,2022-03-03,72300,73100,72200,72900,13232638,962676478940
40,40,40,A005930,2022-03-04,72700,72700,71200,71500,13409634,960572417800
41,41,41,A005930,2022-03-07,70000,70600,69900,70100,18617138,1305288850400
42,42,42,A005930,2022-03-08,68800,70000,68700,69500,15828269,1100279437100
43,43,43,A005930,2022-03-10,70800,71200,70500,71200,21159248,1500935516076
44,44,44,A005930,2022-03-11,70500,70700,69700,70000,15787655,1105586321900
45,45,45,A005930,2022-03-14,70000,70200,69600,70200,9040993,632752468500
46,46,46,A005930,2022-03-15,69800,70100,69500,69500,10258562,715550312992
47,47,47,A005930,2022-03-16,70200,70500,69700,70400,10175750,713364992981
48,48,48,A005930,2022-03-17,71200,71800,70900,71200,17646315,1258698481050
49,49,49,A005930,2022-03-18,70600,70900,70200,70700,14410038,1017183110700
50,50,50,A005930,2022-03-21,70900,71000,69900,69900,11169002,784175429300
51,51,51,A005930,2022-03-22,69900,70500,69900,70300,9402666,660385691100
52,52,52,A005930,2022-03-23,70600,71200,70300,70500,12398025,875833161100
53,53,53,A005930,2022-03-24,69600,70300,69600,69800,37943357,2628885553700
54,54,54,A005930,2022-03-25,70100,70200,69600,69800,12986010,906006321000
55,55,55,A005930,2022-03-28,69500,69900,69200,69700,12619289,878172199900
56,56,56,A005930,2022-03-29,70000,70300,69800,70200,13686208,958589509700
57,57,57,A005930,2022-03-30,70300,70500,69800,69900,12670187,887514318650
58,58,58,A005930,2022-03-31,69900,70200,69600,69600,12510366,873212583300
59,59,59,A005930,2022-04-01,69500,69500,69000,69100,15916846,1100422376400
60,60,60,A005930,2022-04-04,68900,69300,68600,69300,11107905,766930294459
61,61,61,A005930,2022-04-05,69400,69600,69100,69200,8467248,586498194900
62,62,62,A005930,2022-04-06,68600,68800,68500,68500,15517308,1064606110092
63,63,63,A005930,2022-04-07,68500,68500,68000,68000,20683327,1409872624700
64,64,64,A005930,2022-04-08,68100,68300,67700,67800,15453191,1050375034852
65,65,65,A005930,2022-04-11,67800,68100,67400,67900,12263735,831094572700
66,66,66,A005930,2022-04-12,67600,67700,67000,67000,13924389,936611863500
67,67,67,A005930,2022-04-13,67300,69000,67200,68700,17378619,1183210424500
68,68,68,A005930,2022-04-14,68700,68700,67500,67500,16409494,1112667612000
69,69,69,A005930,2022-04-15,67200,67300,66500,66600,13176415,878858388800
70,70,70,A005930,2022-04-18,66500,67100,66100,66700,10119203,675310095100
71,71,71,A005930,2022-04-19,67100,68000,67000,67300,12959434,876087930051
72,72,72,A005930,2022-04-20,67000,67400,66500,67400,16693293,1116160503800
73,73,73,A005930,2022-04-21,67600,68300,67500,67700,12847448,872983300180
74,74,74,A005930,2022-04-22,67200,67300,66700,67000,11791478,789392306300
75,75,75,A005930,2022-04-25,66500,66700,66300,66300,11016474,731676244400
76,76,76,A005930,2022-04-26,66400,66700,66100,66100,12946923,858461258448
77,77,77,A005930,2022-04-27,65400,65500,64900,65000,18122084,1179918512650
78,78,78,A005930,2022-04-28,65400,65500,64500,64800,16895527,1094277578880
79,79,79,A005930,2022-04-29,65100,67600,65000,67400,26190390,1747030218800
80,80,80,A005930,2022-05-02,66600,67600,66500,67300,14106184,946016270200
81,81,81,A005930,2022-05-03,67400,68400,67300,67500,14168875,962643054300
82,82,82,A005930,2022-05-04,68000,68400,67500,67900,11505248,781073326235
83,83,83,A005930,2022-05-06,67000,67100,66500,66500,14356156,957335193600
84,84,84,A005930,2022-05-09,66300,66900,66100,66100,11858736,787562955000
85,85,85,A005930,2022-05-10,65900,66300,65300,65700,17235605,1132067708900
86,86,86,A005930,2022-05-11,65500,66300,65200,65700,12330920,812298026600
87,87,87,A005930,2022-05-12,65200,65500,64900,64900,16414188,1069685385550
88,88,88,A005930,2022-05-13,65300,66700,65200,66500,14551536,962476162900
89,89,89,A005930,2022-05-16,67100,67400,66100,66300,11937555,796060691900
90,90,90,A005930,2022-05-17,66600,67900,66600,67600,15680447,1058322764800
91,91,91,A005930,2022-05-18,68300,68700,67600,68100,16486319,1122585202585
92,92,92,A005930,2022-05-19,66500,67600,66500,67500,17073727,1147743790508
93,93,93,A005930,2022-05-20,67800,68400,67700,68000,12109671,824048609800
94,94,94,A005930,2022-05-23,68800,68800,67600,67900,13684088,931341158100
95,95,95,A005930,2022-05-24,67500,67700,66500,66500,15482576,1035492905500
96,96,96,A005930,2022-05-25,66700,67100,65900,66400,15150490,1007805029400
97,97,97,A005930,2022-05-26,66300,67200,65500,65900,15970890,1057298883100
98,98,98,A005930,2022-05-27,66700,66900,66200,66500,11405555,759034579700
99,99,99,A005930,2022-05-30,67500,67800,66900,67700,14255484,960592764000
100,100,100,A005930,2022-05-31,67500,67500,66700,67400,24365002,1637773742750
101,101,101,A005930,2022-06-02,66600,67000,66400,66700,14959443,996681075588
102,102,102,A005930,2022-06-03,67200,67300,66800,66800,8222883,550654655700
103,103,103,A005930,2022-06-07,66200,66400,65400,65500,19355755,1273444989300
104,104,104,A005930,2022-06-08,65400,65700,65300,65300,12483180,817379109300
105,105,105,A005930,2022-06-09,65100,65200,64500,65200,25790725,1673763680952
106,106,106,A005930,2022-06-10,64000,64400,63800,63800,22193552,1419245099700
107,107,107,A005930,2022-06-13,62400,62800,62100,62100,22157816,1380636801900
108,108,108,A005930,2022-06-14,61200,62200,61100,61900,24606419,1519195265000
109,109,109,A005930,2022-06-15,61300,61500,60200,60700,26811224,1630190882434
110,110,110,A005930,2022-06-16,61300,61800,60500,60900,23394895,1431052309321
111,111,111,A005930,2022-06-17,59400,59900,59400,59800,29053450,1732449618748
112,112,112,A005930,2022-06-20,59800,59900,58100,58700,34111306,1997076972175
113,113,113,A005930,2022-06-21,58700,59200,58200,58500,25148109,1474998298400
114,114,114,A005930,2022-06-22,59000,59100,57600,57600,23334687,1360076149300
115,115,115,A005930,2022-06-23,57700,58000,56800,57400,28338608,1627019443340
116,116,116,A005930,2022-06-24,57900,59100,57700,58400,23256103,1359292776100
117,117,117,A005930,2022-06-27,59000,59900,58300,58800,18122236,1071186745402
118,118,118,A005930,2022-06-28,59200,59500,58700,59400,13540538,800041009700
119,119,119,A005930,2022-06-29,58500,58800,58000,58000,14677138,855770425874
120,120,120,A005930,2022-06-30,57200,57600,57000,57000,18915142,1082799462452
121,121,121,A005930,2022-07-01,56900,57500,55900,56200,24982097,1412473217495
122,122,122,A005930,2022-07-04,56100,57400,55700,57100,17807126,1012586831300
123,123,123,A005930,2022-07-05,57600,58200,57200,57200,14216539,818079785900
124,124,124,A005930,2022-07-06,57300,57300,56400,56400,16820461,955957046500
125,125,125,A005930,2022-07-07,56400,58700,56300,58200,21322833,1234677644065
126,126,126,A005930,2022-07-08,58600,59300,58200,58700,15339271,902198939736
127,127,127,A005930,2022-07-11,59300,59600,58700,58800,13042624,771042671500
128,128,128,A005930,2022-07-12,58600,58700,58100,58100,9336061,544403361000
129,129,129,A005930,2022-07-13,58300,58600,58000,58000,10841315,631711977700
130,130,130,A005930,2022-07-14,57500,58200,57400,57500,15067012,869131233435
131,131,131,A005930,2022-07-15,58400,60000,58100,60000,18685583,1104045143300
132,132,132,A005930,2022-07-18,60600,62000,60500,61900,20832517,1277727157981
133,133,133,A005930,2022-07-19,61400,61500,60200,60900,15248261,925919721166
134,134,134,A005930,2022-07-20,61800,62100,60500,60500,16782238,1025939109200
135,135,135,A005930,2022-07-21,61100,61900,60700,61800,12291374,754854999650
136,136,136,A005930,2022-07-22,61800,62200,61200,61300,10261310,631872940300
137,137,137,A005930,2022-07-25,60900,61900,60800,61100,9193681,565540190900
138,138,138,A005930,2022-07-26,60800,61900,60800,61700,6597211,405310045900
139,139,139,A005930,2022-07-27,61300,61900,61200,61800,7320997,449989960800
140,140,140,A005930,2022-07-28,62300,62600,61600,61900,10745302,667085256100
141,141,141,A005930,2022-07-29,62400,62600,61300,61400,15093120,932917972000
142,142,142,A005930,2022-08-01,61000,61700,60300,61300,13154816,803034710500
143,143,143,A005930,2022-08-02,61200,61900,61000,61700,13614895,837567187000
144,144,144,A005930,2022-08-03,61600,61600,61000,61300,10053861,615480978400
145,145,145,A005930,2022-08-04,61700,61800,61200,61500,9125439,561835808800
146,146,146,A005930,2022-08-05,61700,61900,61200,61500,9567620,588582544800
147,147,147,A005930,2022-08-08,61400,61400,60600,60800,11313150,689020306900
148,148,148,A005930,2022-08-09,60600,60700,59600,60000,18251170,1094260322600
149,149,149,A005930,2022-08-10,58900,59200,58600,59100,18084349,1065592854894
150,150,150,A005930,2022-08-11,59600,60000,59300,59900,15141941,903738904000
151,151,151,A005930,2022-08-12,59500,60700,59400,60200,10786658,648793200100
152,152,152,A005930,2022-08-16,60500,61600,60300,61000,15036727,917516142200
153,153,153,A005930,2022-08-17,61100,61200,60300,60400,9061518,550059085700
154,154,154,A005930,2022-08-18,60300,61900,60000,61500,16372754,997986949000
155,155,155,A005930,2022-08-19,61400,61600,60600,60900,6923679,421908759900
156,156,156,A005930,2022-08-22,60300,60400,59800,60000,8259865,495732266100
157,157,157,A005930,2022-08-23,59000,59600,59000,59100,9041629,535657353300
158,158,158,A005930,2022-08-24,59200,59500,59000,59000,8888486,525406965200
159,159,159,A005930,2022-08-25,59200,59700,59000,59700,5767902,342780937200
160,160,160,A005930,2022-08-26,60300,60900,59900,60000,9499995,573040309950
161,161,161,A005930,2022-08-29,58700,58900,58600,58600,9841329,577684200900
162,162,162,A005930,2022-08-30,58700,59000,58300,58800,9690044,567627668500
163,163,163,A005930,2022-08-31,58200,59900,58200,59700,14203512,841319635900
164,164,164,A005930,2022-09-01,58700,58900,58300,58400,14905777,872374620601
165,165,165,A005930,2022-09-02,58300,58600,57500,57500,15040310,872040367551
166,166,166,A005930,2022-09-05,57400,57800,56800,57100,11425977,653884056584
167,167,167,A005930,2022-09-06,57200,57600,56900,57100,7503086,429152038700
168,168,168,A005930,2022-09-07,56700,56700,55900,56000,17384854,975695179700
169,169,169,A005930,2022-09-08,56200,56400,55600,55600,18000016,1006366398000
170,170,170,A005930,2022-09-13,57000,58500,56800,58100,17166581,991015891355
171,171,171,A005930,2022-09-14,56200,57200,56100,56800,12524961,709906007000
172,172,172,A005930,2022-09-15,57000,57100,56000,56000,11664819,657641711500
173,173,173,A005930,2022-09-16,55600,56400,55500,56200,13456503,752455682838
174,174,174,A005930,2022-09-19,56300,57000,56000,56400,12278653,693636680000
175,175,175,A005930,2022-09-20,56400,57000,55800,55800,14041465,788331519815
176,176,176,A005930,2022-09-21,55400,55500,55000,55300,11863700,655017421100
177,177,177,A005930,2022-09-22,54600,54700,54300,54400,12786510,696058101600
178,178,178,A005930,2022-09-23,54400,54900,54200,54500,10555964,575503622100
179,179,179,A005930,2022-09-26,53700,54200,53600,53900,15008449,807353273300
180,180,180,A005930,2022-09-27,53800,54200,53500,54200,16631289,897144417709
181,181,181,A005930,2022-09-28,53900,54400,52500,52900,19991129,1064665579214
182,182,182,A005930,2022-09-29,53300,53700,52600,52600,13882080,737730681500
183,183,183,A005930,2022-09-30,52300,53600,51800,53100,22503249,1187343660500
184,184,184,A005930,2022-10-04,55300,55400,54500,55200,19148435,1056852669700
185,185,185,A005930,2022-10-05,56900,57200,55400,56000,22458970,1261934048318
186,186,186,A005930,2022-10-06,56700,57300,56300,56300,14944446,848081763100
187,187,187,A005930,2022-10-07,55900,56900,55200,56200,16886813,949027146468
188,188,188,A005930,2022-10-11,54400,55700,54000,55400,21437877,1172168853325
189,189,189,A005930,2022-10-12,55700,57000,55200,55800,18408910,1032656163200
190,190,190,A005930,2022-10-13,55400,56100,55200,55200,13784602,765435187900
191,191,191,A005930,2022-10-14,56200,56500,55800,56300,12924326,726962989400
192,192,192,A005930,2022-10-17,55800,57000,55700,56600,13641878,769638197200
193,193,193,A005930,2022-10-18,56700,57100,55800,56500,14820702,835744764000
194,194,194,A005930,2022-10-19,56700,56900,55700,55800,12660652,710947532900
195,195,195,A005930,2022-10-20,55200,56000,55100,55500,17107653,949265250905
196,196,196,A005930,2022-10-21,55100,56300,55100,55900,11456060,640343092816
197,197,197,A005930,2022-10-24,57000,57500,56700,57500,16944503,968892104300
198,198,198,A005930,2022-10-25,57000,58600,57000,57700,17405678,1009512119302
199,199,199,A005930,2022-10-26,58000,59600,57700,59400,20824967,1227076491560
200,200,200,A005930,2022-10-27,59700,60100,58900,59500,21756712,1296030977930
201,201,201,A005930,2022-10-28,58900,59200,57200,57300,20924937,1213293156195
202,202,202,A005930,2022-10-31,58100,59900,58000,59400,18999514,1126467842000
203,203,203,A005930,2022-11-01,59900,60300,59500,60000,17201647,1030380927406
204,204,204,A005930,2022-11-02,59700,60000,59300,59600,13202919,787057605000
205,205,205,A005930,2022-11-03,58600,59800,58100,59200,17492162,1029199659366
206,206,206,A005930,2022-11-04,59100,59500,58400,59400,12445841,734525784600
207,207,207,A005930,2022-11-07,59700,60300,59400,60200,12437246,747350127100
208,208,208,A005930,2022-11-08,60500,61900,60500,61800,18273898,1123976801804
209,209,209,A005930,2022-11-09,62000,62200,61300,62000,14045592,869644724000
210,210,210,A005930,2022-11-10,61400,61500,60400,60400,21087633,1283005045328
211,211,211,A005930,2022-11-11,63100,63200,62300,62900,20037163,1257129641861
212,212,212,A005930,2022-11-14,62900,62900,61700,61900,15973416,993352234080
213,213,213,A005930,2022-11-15,62200,62500,61600,62400,12310986,764117239743
214,214,214,A005930,2022-11-16,62400,62700,61700,62700,12909260,804219667250
215,215,215,A005930,2022-11-17,62000,62000,61300,61400,13298296,819118806800
216,216,216,A005930,2022-11-18,61800,62400,61400,61800,12236503,757454905470
217,217,217,A005930,2022-11-21,61400,61800,60800,61400,9378097,573783339409
218,218,218,A005930,2022-11-22,60900,61200,60300,60600,9411289,571460562800
219,219,219,A005930,2022-11-23,61200,61300,60700,61000,8765050,534580211500
220,220,220,A005930,2022-11-24,61200,61700,60900,61400,8125010,497273294550
221,221,221,A005930,2022-11-25,61400,61700,60800,61000,6677933,407953216200
222,222,222,A005930,2022-11-28,60500,60500,59800,60100,8589032,515486605100
223,223,223,A005930,2022-11-29,59900,60600,59800,60600,7014160,422226001673
224,224,224,A005930,2022-11-30,60400,62200,60200,62200,19768903,1218354958444
225,225,225,A005930,2022-12-01,63100,63200,62300,62600,16631445,1044546161950
226,226,226,A005930,2022-12-02,62500,62500,60400,60400,15331184,935960853120
227,227,227,A005930,2022-12-05,60900,61100,60000,60300,13767787,832613739000
228,228,228,A005930,2022-12-06,59800,60100,59200,59200,13888300,827339804388
229,229,229,A005930,2022-12-07,58800,59600,58500,58900,12100662,714083283900
230,230,230,A005930,2022-12-08,58700,59200,58600,59200,12986815,766212023592
231,231,231,A005930,2022-12-09,59300,60600,59300,60400,10529632,633777717900
232,232,232,A005930,2022-12-12,59900,60000,59400,59500,9036472,538557972800
233,233,233,A005930,2022-12-13,59600,60300,59400,59700,9040873,539587782200
234,234,234,A005930,2022-12-14,59800,60600,59800,60500,8207485,495209255105
235,235,235,A005930,2022-12-15,59800,60200,59300,59300,8716039,519762171147
236,236,236,A005930,2022-12-16,58300,59500,58300,59500,13033596,769867746731
237,237,237,A005930,2022-12-19,59500,59900,59100,59500,7696187,457558919300
238,238,238,A005930,2022-12-20,59000,59100,58500,58600,9284761,545533294130
239,239,239,A005930,2022-12-21,58700,59100,58000,58000,10356971,603985894600
240,240,240,A005930,2022-12-22,58100,59100,58100,59100,10720630,628698962726
241,241,241,A005930,2022-12-23,58200,58400,57700,58100,9829407,570401785680
242,242,242,A005930,2022-12-26,58000,58100,57700,57900,6756411,391223170600
243,243,243,A005930,2022-12-27,58000,58400,57900,58100,10667027,620410096800
244,244,244,A005930,2022-12-28,57600,57600,56400,56600,14665410,832919426100
245,245,245,A005930,2022-12-29,56000,56200,55300,55300,11295935,628653753150
